ID,Date,Close/Last,Volume,Open,High,Low
981,10/19/2020,115.98,120639300,119.96,120.419,115.66
982,10/16/2020,119.02,115393800,121.28,121.548,118.81
983,10/15/2020,120.71,112559200,118.72,121.20,118.15
984,10/14/2020,121.19,151062300,121.00,123.03,119.62
985,10/13/2020,121.10,262330500,125.27,125.39,119.65
986,10/12/2020,124.40,240226800,120.06,125.18,119.2845
987,10/09/2020,116.97,100506900,115.28,117.00,114.92
988,10/08/2020,114.97,83477150,116.25,116.40,114.5901
989,10/07/2020,115.08,96848990,114.62,115.55,114.13
990,10/06/2020,113.16,161498200,115.70,116.12,112.25
991,10/05/2020,116.50,106243800,113.91,116.65,113.55
992,10/02/2020,113.02,144712000,112.89,115.37,112.22
993,10/01/2020,116.79,116120400,117.64,117.72,115.83
994,09/30/2020,115.81,142675200,113.79,117.26,113.62
995,09/29/2020,114.09,100060500,114.55,115.31,113.57
996,09/28/2020,114.96,137672400,115.01,115.32,112.78
997,09/25/2020,112.28,149981400,108.43,112.44,107.67
998,09/24/2020,108.22,167743300,105.17,110.25,105.00
999,09/23/2020,107.12,150718700,111.62,112.11,106.77
1000,09/22/2020,111.81,183055400,112.68,112.86,109.16
1001,09/21/2020,110.08,195713800,104.54,110.19,103.10
1002,09/18/2020,106.84,287104900,110.40,110.88,106.09
1003,09/17/2020,110.34,178011000,109.72,112.20,108.71
1004,09/16/2020,112.13,155026700,115.23,116.00,112.04
1005,09/15/2020,115.54,184642000,118.33,118.829,113.61
1006,09/14/2020,115.355,140150100,114.72,115.93,112.80
1007,09/11/2020,112.00,180860300,114.57,115.23,110.00
1008,09/10/2020,113.49,182274400,120.36,120.50,112.50
1009,09/09/2020,117.32,176940500,117.26,119.14,115.26
1010,09/08/2020,112.82,231366600,113.95,118.99,112.68
1011,09/04/2020,120.96,332607200,120.07,123.70,110.89
1012,09/03/2020,120.88,257599600,126.91,128.84,120.50
1013,09/02/2020,131.40,200119000,137.59,137.98,127.00
1014,09/01/2020,134.18,152470100,132.76,134.80,130.53
1015,08/31/2020,129.04,225702700,127.58,131.00,126.00
1016,08/28/2020,124.8075,187629920,126.0125,126.4425,124.5775
1017,08/27/2020,125.01,155552400,127.1425,127.485,123.8325
1018,08/26/2020,126.5225,163022280,126.1793,126.9925,125.0825
1019,08/25/2020,124.825,211495800,124.6975,125.1793,123.0525
1020,08/24/2020,125.8575,345937760,128.6975,128.785,123.9363
1021,08/21/2020,124.37,338054640,119.2625,124.868,119.25
1022,08/20/2020,118.275,126907200,115.75,118.392,115.7334
1023,08/19/2020,115.7075,145538000,115.9833,117.1625,115.61
1024,08/18/2020,115.5625,105633560,114.3525,116.00,114.0075
1025,08/17/2020,114.6075,119561440,116.0625,116.0875,113.9625
1026,08/14/2020,114.9075,165565200,114.8288,115.00,113.045
1027,08/13/2020,115.01,210082080,114.43,116.0425,113.9275
1028,08/12/2020,113.01,165944840,110.4975,113.275,110.2975
1029,08/11/2020,109.375,187902360,111.9688,112.4825,109.1067
1030,08/10/2020,112.7275,212403440,112.60,113.775,110.00
1031,08/07/2020,111.1125,198045600,113.205,113.675,110.2925
1032,08/06/2020,113.9025,202428920,110.405,114.4125,109.7975
1033,08/05/2020,110.0625,121991960,109.3775,110.3925,108.8975
1034,08/04/2020,109.665,172792360,109.1325,110.79,108.3875
1035,08/03/2020,108.9375,308151400,108.20,111.6364,107.8925
1036,07/31/2020,106.26,374295480,102.8838,106.415,100.825
1037,07/30/2020,96.19,158130040,94.1875,96.2975,93.7675
1038,07/29/2020,95.04,90329240,93.75,95.23,93.7125
1039,07/28/2020,93.2525,103625520,94.3675,94.5497,93.2475
1040,07/27/2020,94.81,121214200,93.71,94.905,93.48
1041,07/24/2020,92.615,185438880,90.9875,92.97,89.145
1042,07/23/2020,92.845,197004440,96.9985,97.0775,92.0097
1043,07/22/2020,97.2725,89001640,96.6925,97.975,96.6025
1044,07/21/2020,97.00,103645840,99.1725,99.25,96.7425
1045,07/20/2020,98.3575,90317920,96.4163,98.50,96.0625
1046,07/17/2020,96.3275,92186920,96.9875,97.1475,95.84
1047,07/16/2020,96.5225,110577680,96.5625,97.405,95.905
1048,07/15/2020,97.725,153197920,98.99,99.2475,96.49
1049,07/14/2020,97.0575,170989360,94.84,97.255,93.8775
1050,07/13/2020,95.4775,191649160,97.265,99.955,95.2575
1051,07/10/2020,95.92,90257320,95.335,95.98,94.7052
1052,07/09/2020,95.6825,125642600,96.2625,96.3175,94.6725
1053,07/08/2020,95.3425,117091880,94.18,95.375,94.09
1054,07/07/2020,93.1725,112424440,93.8525,94.655,93.0575
1055,07/06/2020,93.4625,118655640,92.50,93.945,92.4675
1056,07/02/2020,91.0275,114041480,91.9625,92.6175,90.91
